
robotV3: Command not recognized.


robotV3 >> log 100 100


robotV3 >> a,b
436050,326695
436356,327096
436609,327224
436828,327378
437018,327527
437184,327686
437372,327756
437537,327858
437677,327985
437844,328101
437987,328158
438127,328247
2223,328356
2046,328453
1929,328501
1843,328588
1779,1991
1731,1680
1687,1599
1644,1531
1614,1468
1583,1395
1559,1371
1537,1346
1517,1304
1502,1271
1485,1256
1471,1239
1463,1219
1448,1197
1431,1190
1432,1174
1420,1161
1411,1147
1409,1140
1397,1129
1390,1119
1383,1110
1379,1104
1374,1097
1365,1089
1366,1082
1362,1079
1358,1072
1354,1064
1351,1060
1346,1057
1346,1049
1343,970
1344,970
1339,1007
1337,966
1336,959
1333,958
1331,992
1326,958
1329,947
1328,946
1325,980
1326,951
1326,934
1321,940
1323,973
1323,943
1321,1005
1322,1004
1321,998
1320,1001
1319,1000
1319,998
1318,992
1317,996
1315,994
1316,993
1316,992
1315,992
1314,990
1317,991
1314,987
1321,987
1314,986
1313,984
1313,984
1314,983
1314,982
1313,981
1313,980
1314,979
1314,979
1311,978
1313,977
1306,977
1313,977
1313,972
1312,975
1313,975
1312,974
1313,974
1312,973
1312,973
1312,973
1312,972
1312,971
1312,971
1312,971
1311,970
1312,970
1312,969
1311,968
1311,970
1310,969
1317,969
1310,969
1310,969
1313,968
1309,968
1310,968
1310,968
1310,968
1310,968
1311,968
1311,967
1315,968
1306,968
1312,967
1313,968
1309,967
1315,967
1316,967
1313,967
1312,967
1312,967
1312,967
1313,967
1309,967
1312,967
1312,967
1313,967
1313,966
1312,966
1309,967
1313,966
1314,966
1314,967
1314,967
1313,967
1314,971
1314,966
1315,966
1314,966
1314,967
1314,966
1314,966
1315,966
1314,967
1315,967
1315,967
1315,967
1316,967
1316,967
1315,967
1316,971
1316,963
1316,967
1316,968
1316,968
1317,968
1323,968
1316,968
1315,971
1316,969
1315,969
1315,969
1315,969
1315,969
1320,969
1315,969
1322,965
1315,969
1308,969
1321,969
1317,969
1316,969
1317,968
1317,969
1318,967
1318,969
1312,972
1317,969
1311,969
1317,969
1322,969
1312,969
1317,968
1319,968
1316,968
1316,968
1321,968
1316,968
1316,967
1317,967
1317,968
1318,967
1313,964
1319,967
1319,967
1317,967
1319,967
1320,967
1316,967
1320,967
1320,967
1320,967
1320,967
1320,967
1320,967
1319,967
1319,967
1320,967
1320,966
1319,967
1319,967
1320,967
1320,967
1321,967
1325,967
1322,967
1322,967
1323,967
1324,967
1330,967
1324,967
1325,967
1330,967
1325,972
1325,967
1324,967
1321,968
1330,967
1324,967
1324,967
1327,967
1317,967
1324,968
1323,967
1318,967
1324,968
1324,968
1324,968
1324,968
1319,964
1325,968
1325,968
1323,968
1326,968
1326,968
1327,968
1327,969
1326,969
1327,969
1327,969
1327,969
1327,969
1327,970
1326,970
1325,969
1326,969
1326,969
1325,969
1325,969
1325,969
1328,969
1328,969
1325,969
1328,969
1325,969
1325,969
1326,970
1326,970
1325,970
1327,970
1327,970
1327,970
1323,971
1323,970
1326,970
1323,971
1326,971
1326,971
1325,971
1325,972
1324,971
1324,971
1324,972
1324,973
1324,971
1324,972
1324,972
1324,976
1325,972
1326,972
1326,972
1327,972
1328,972
1328,972
1329,971
1330,972
1330,972
1330,972
1331,971
1332,969
1331,971
1330,971
1330,971
1331,966
1331,969
1331,970
1331,970
1331,970
1330,973
1331,970
1331,970
1330,970
1331,970
1332,970
1332,969
1333,969
1333,969
1333,969
1333,969
1334,969
1335,969
1336,969
1335,969
1336,969
1336,966
1337,968
1337,969
1337,969
1339,969
1339,969
1338,969
1338,969
1339,970
1338,969
1339,969
1339,970
1339,970
1339,970
1339,971
1339,973
1338,970
1339,971
1339,971
1338,970
1338,971
1339,971
1339,972
1338,972
1339,973
1339,972
1339,976
1340,972
1340,972
1339,973
1339,971
1340,970
1340,972
1341,973
1341,973
1342,973
1342,972
1343,973
1343,973
1343,973
1344,972
1345,973
1346,970
1346,973
1347,975
1347,973
1347,974
1348,974
1348,974
1348,974
1348,974
1348,974
1348,974
1348,974
1348,974
1348,974
1348,973
1348,974
1349,974
1349,974
1349,973
1348,974
1348,975
1348,974
1348,975
Stop

