
robotV3: Command not recognized.


robotV3 >> log 100 100


robotV3 >> a,b
1079732,809547
1080010,809885
1080230,810002
1080426,810131
1080598,810273
1080747,810409
1080918,810471
1081066,810484
1081192,810495
1081343,810501
1081472,810569
1081598,810680
1997,810783
1834,810838
1737,810930
1660,811021
1601,1562
1557,1274
1511,1236
1476,1195
1450,1136
1421,1041
1398,1051
1378,1123
1359,1187
1345,1222
1329,1224
1315,1193
1304,1163
1294,1149
1283,1127
1273,1109
1265,1091
1256,1081
1249,1066
1242,1050
1236,1040
1229,1034
1230,1025
1219,1013
1214,1004
1210,998
1205,996
1201,984
1198,977
1194,972
1191,967
1188,965
1185,956
1183,954
1174,949
1178,945
1175,940
1173,937
1171,934
1169,931
1168,927
1166,926
1165,917
1163,918
1162,916
1161,913
1160,911
1159,906
1159,906
1158,904
1158,902
1158,899
1157,897
1157,896
1156,894
1156,892
1155,890
1155,889
1155,888
1155,886
1154,884
1154,883
1152,882
1152,880
1151,879
1151,878
1151,876
1150,816
1150,813
1149,843
1149,819
1148,805
1148,811
1148,840
1149,813
1149,805
1148,808
1148,837
1148,809
1148,805
1147,806
1148,832
1148,812
1148,863
1147,865
1147,865
1145,864
1145,864
1145,865
1145,863
1144,864
1145,862
1145,861
1145,860
1150,860
1144,859
1144,859
1144,859
1145,858
1145,858
1150,859
1146,858
1146,858
1145,857
1145,856
1145,833
1139,814
1145,763
1152,704
1145,673
1145,698
1145,704
1140,703
1144,673
1144,699
1144,706
1147,702
1145,674
1145,697
1145,706
1138,702
1145,696
1144,738
1144,800
1145,853
1145,853
1145,853
1145,853
1141,852
1144,852
1144,852
1144,851
1144,856
1144,851
1145,852
1145,852
1144,852
1144,852
1143,852
1145,852
1144,854
1144,852
1144,851
1144,853
1144,851
1144,850
1143,851
1143,854
1143,846
1144,851
1144,851
1143,854
1144,850
1144,850
1144,852
1145,849
1144,848
1145,849
1146,854
1146,847
1147,851
1147,850
1147,853
1147,847
1147,850
1147,850
1147,849
1148,846
1148,849
1147,849
1147,847
1153,848
1146,848
1145,848
1151,844
1145,849
1146,848
1151,848
1146,845
1145,847
1145,847
1145,847
1145,847
1140,846
1146,847
1149,851
1142,848
1147,849
1146,847
1141,849
1145,847
1147,847
1146,847
1151,851
1147,847
1146,846
1146,847
1143,847
1145,848
1150,848
1146,848
1147,844
1147,848
1146,848
1147,848
1142,847
1146,847
1146,847
1147,847
1146,843
1147,847
1142,848
1146,848
1151,848
1145,843
1146,787
1146,730
1145,756
1146,763
1146,727
1145,722
1146,758
1145,761
1145,727
1146,723
1140,756
1146,758
1146,727
1146,726
1145,755
1145,764
1146,791
1146,840
1146,847
1147,847
1147,847
1146,848
1147,847
1146,848
1147,847
1147,848
1148,848
1148,848
1148,848
1149,848
1148,847
1148,847
1148,847
1148,848
1149,848
