
robotV3: Command not recognized.


robotV3 >> sm 10


robotV3 >> sm 110 110
Motor Vectors: [110, 110]


robotV3 >> log 110 110


robotV3 >> a,b
1176,1028
1176,960
1128,960
1128,960
1128,1104
1380,1104
1380,1036
1260,544
1260,544
1260,1040
1116,1020
1380,1032
1220,560
1220,952
1224,1072
1300,1052
1300,536
1184,912
1260,1124
1256,1004
1256,512
1212,972
1136,1104
1380,1032
1380,548
1260,1004
1116,1048
1116,1032
1384,572
1228,948
1224,1084
1224,1048
1296,536
1184,912
1268,1124
1268,1032
1260,488
1212,976
1132,1108
1132,1028
1380,552
1264,992
1120,1048
1120,1040
1376,572
1220,952
1220,1084
1228,1044
1300,524
1188,916
1188,1132
1256,1008
1268,520
1268,972
1212,1108
1132,1028
1388,584
1388,964
1264,1060
1120,1040
1392,576
1392,944
1228,1080
1228,1056
1228,524
1300,924
1188,1140
1272,1008
1272,524
1260,964
1216,1104
1140,1044
1140,540
1392,1012
1264,1068
1120,1036
1120,576
1384,944
1232,1068
1232,1056
1236,532
1300,924
1192,1148
1192,1004
1272,532
1264,952
1260,1096
1260,1048
1096,548
1384,1012
1384,1068
1268,1028
1120,568
1396,952
1396,1076
1220,1064
1236,528
1308,928
1308,1140
1188,1008
1268,516
1268,968
1268,1108
1212,1044
1144,588
1144,964
1388,1064
1276,1036
1116,568
1116,960
1396,1088
1228,1056
1232,536
1232,916
1308,1132
1188,1012
1188,516
1280,980
1268,1112
1216,1040
1216,552
1148,1004
1392,1052
1280,1044
1280,576
1108,956
1400,1100
1400,1048
1228,532
1236,920
1308,1140
1308,1012
1188,520
1316,980
1316,1108
1232,1040
1216,544
1140,1016
1140,1064
1388,1040
1268,588
1128,944
1128,1080
1388,1056
1252,532
1212,932
1212,1148
1308,1012
1188,528
1188,960
1272,1108
1268,1052
1224,540
1224,1016
1144,1072
1388,1032
1268,580
1268,944
1128,1076
1388,1068
1236,936
1236,936
1236,1140
1316,516
1316,516
1180,968
1284,1112
1292,1052
1292,540
1196,1016
1144,1060
1144,1040
1400,572
1272,964
1124,1080
1124,1060
1400,544
1252,912
1220,1132
1220,1016
1308,516
1196,984
1196,1116
1280,1040
1268,556
1224,1004
1224,1052
1140,1048
1416,584
1256,956
1256,1092
1120,1056
1400,528
1400,924
1224,1140
1244,1016
1312,528
1312,972
1188,1112
1272,1044
1272,544
1272,1008
1228,1076
1152,1040
1384,584
1384,948
1272,1076
1124,1068
1124,532
1396,928
1228,1152
1260,1012
1260,528
1292,964
1188,1104
1188,1052
1280,544
1272,1016
1260,1080
1104,1036
1104,576
1400,976
1272,1056
1272,1068
1128,928
1400,928
1400,1140
1236,528
1236,528
1316,964
1316,1120
1192,1040
1280,560
1280,1008
1272,1060
1224,1044
1164,572
1164,964
1384,1092
1272,1056
1128,540
1128,916
1400,1136
1236,1016
1236,524
1244,980
1312,1120
1196,1040
1196,552
1284,1004
1272,1064
1224,1048
1224,584
1148,952
1388,1088
1388,1060
1284,528
1128,928
1388,1176
1388,996
1236,528
1240,968
1240,1108
1312,1048
1196,544
1312,1020
1312,1080
1236,1040
1228,580
1176,944
1176,1080
1360,1072
1272,560
1124,904
1124,1156
1400,1008
1228,524
1228,972
1240,1108
1316,1048
1188,552
1188,1012
1280,1072
1268,1036
1228,568
1228,964
1144,1088
1396,1064
1396,536
1276,920
1124,1136
1396,1024
1396,512
1244,984
1240,1120
1240,1040
1340,552
1160,1012
1280,1052
1280,1052
1276,572
1224,968
1144,1096
1144,1052
1400,532
1280,956
1124,1128
1124,1004
1396,524
1240,976
1240,1116
1240,1044
1312,548
1200,1008
1200,1076
1276,1044
1280,604
1280,928
1228,1080
1140,1068
1396,536
1396,928
1272,1156
1136,1012
1396,532
1396,964
1232,1108
1240,1056
1240,552
1316,1012
1192,1080
1280,1032
1280,580
1272,956
1232,1084
1144,1068
1144,544
1396,920
1276,1148
1276,1016
1132,520
1396,976
1236,1120
1236,1052
1244,552
1316,1012
1196,1072
1196,1036
1276,576
1276,964
1276,1108
1228,1056
1152,532
1396,924
1396,1144
1272,1020
1140,524
1140,984
1400,1116
1240,1048
1276,544
1276,1016
1284,1072
1192,1052
1288,584
1288,952
1276,1084
1228,1064
1148,536
1148,928
1408,1160
1272,1016
1272,528
1136,968
1400,1112
1400,1056
1236,548
1248,1020
1312,1080
1312,1040
1200,576
1280,956
1280,1088
1280,1072
1228,536
1148,928
1148,1148
1396,1020
1280,512
1128,988
1128,1120
1400,1048
1236,560
1244,1008
1244,1068
1316,1048
1192,576
1280,964
1280,1104
1272,1060
Stop

