
robotV3: Command not recognized.


robotV3 >> sm 120 120
Motor Vectors: [120, 120]


robotV3 >> log 120


robotV3 >> a,b
8372416,8371520
8373568,8372524
8374592,8373484
8375856,8373976
8376976,8374904
8378096,8375896
8379292,8376820
8380372,8377344
8381532,8378216
8382688,8379208
8383800,8380164
8384844,8380652
8386100,8381496
8387252,8382536
8388276,8383452
8389548,8383936
8390672,8384808
8391788,8385816
8392976,8386772
8394060,8387292
8395224,8388196
8396376,8389160
8397484,8390116
8398520,8390636
8399784,8391508
8400940,8392496
8401964,8393460
8403228,8393940
8404352,8394784
8405476,8395828
8406664,8396744
8407744,8397224
8408900,8398096
8410072,8399108
8411172,8400064
8412212,8400560
8413480,8401484
8414632,8402452
8415656,8403404
8416924,8403924
8418040,8404796
8419168,8405788
8420360,8406752
8421444,8407232
8422604,8408072
8423760,8409120
8424876,8410036
8425912,8410516
8427184,8411392
8428328,8412400
8429348,8413356
8430620,8413856
8431736,8414776
8432860,8415744
8434052,8416696
8435132,8417220
8436292,8418088
8437444,8419080
8438556,8420044
8439592,8420532
8440860,8421368
8442016,8422416
8443040,8423332
8444308,8423808
8445428,8424688
8446552,8425696
8447740,8426648
8448816,8427148
8449980,8428072
8451136,8429036
8452248,8429992
8453288,8430512
8454556,8431392
8455708,8432376
8456732,8433340
8458008,8433824
8459124,8434664
8460248,8435712
8461440,8436628
8462524,8437108
8463688,8437984
8464848,8438988
8465956,8439940
8466988,8440440
8468252,8441368
8469408,8442324
8470432,8443280
8471704,8443804
8472824,8444676
8473944,8445664
8475140,8446632
8476212,8447116
8477372,8447952
8478528,8449004
8479640,8449916
8480680,8450396
8481944,8451272
8483100,8452288
8484120,8453232
8485388,8453736
8486508,8454656
8487632,8455620
8488820,8456572
8489904,8457100
8491064,8457972
8492224,8458960
8493332,8459924
8494372,8460412
8495636,8461252
8496792,8462300
8497812,8463216
8499076,8463728
8500200,8464572
8501324,8465584
8502516,8466532
8503600,8467032
8504764,8467956
8505912,8468920
8507024,8469876
8508060,8470396
8509324,8471272
8510480,8472256
8511504,8473228
8512776,8473712
8513896,8474552
8515016,8475604
8516208,8476516
8517292,8476996
8518448,8477872
8519600,8478884
8520716,8479832
8521756,8480332
8523024,8481256
8524184,8482220
8525200,8483176
8526468,8483696
8527584,8484576
8528712,8485560
8529908,8486552
8530988,8487012
8532172,8487856
8533304,8488904
8534412,8489820
8535448,8490300
8536712,8491180
8537868,8492188
8538884,8493136
8540152,8493640
8541272,8494556
8542396,8495528
8543592,8496484
8544668,8497004
8545828,8497880
8546980,8498868
8548088,8499836
8549128,8500324
8550392,8501164
8551548,8502212
8552572,8503128
8553840,8503640
8554960,8504488
8556084,8505500
8557272,8506452
8558352,8506952
8559512,8507872
8560668,8508844
8561784,8509800
8562820,8510320
8564092,8511196
8565244,8512188
8566264,8513156
8567540,8513644
8568652,8514484
8569780,8515532
8570976,8516448
8572056,8516932
8573224,8517808
8574380,8518820
8575488,8519772
8576524,8520268
8577808,8521196
8578940,8522164
8579964,8523116
8581228,8523636
8582352,8524516
8583476,8525504
8584660,8526508
8585744,8526960
8586904,8527800
8588056,8528852
8589168,8529764
8590204,8530248
