







robotV3: Command not recognized.


robotV3 >> sm


robotV3 >> stop
Stop


robotV3 >> re
6540904
Encoders:
Rot:    [0.00, 0.00]
Raw:    [0, 0]


robotV3 >> sm 10 0
Motor Vectors: [10, 0]


robotV3 >> re
11387004
Encoders:
Rot:    [0.00, 0.00]
Raw:    [0, 0]


robotV3 >> stop
Stop


robotV3 >> sm 105 105
Motor Vectors: [105, 105]


robotV3 >> log 190 190


robotV3 >> a,b
133666,152309259
133688,152309214
133698,152309202
133749,152309181
133761,152309174
133750,152309169
133749,152309160
133790,152309147
133784,152309129
133766,152309084
133766,152309062
133797,152309055
133786,152309039
133785,152309000
133785,152308987
133826,152308983
133836,152308965
133830,152308931
133840,152308923
133874,152308908
133879,152308898
133874,152308889
133887,152308880
133923,152308869
133926,152308858
133937,152308825
133944,152308809
133985,152308805
133996,152308792
133995,152308762
134001,152308753
134041,152308750
134048,152308738
134053,152308706
134059,152308698
134104,152308686
134107,152308677
134116,152308678
134130,152308675
134160,152308671
134175,152308662
134180,152308629
134187,152308618
134224,152308618
134235,152308605
134233,152308575
134248,152308567
134283,152308560
134288,152308551
134315,152308518
134319,152308515
134355,152308504
134364,152308503
134372,152308501
134382,152308504
134419,152308497
134423,152308484
134476,152308460
134502,152308452
134511,152308440
134538,152308436
134559,152308407
134563,152308400
134572,152308362
134611,152308342
134620,152308333
134631,152308312
134637,152308307
134671,152308306
134676,152308326
134691,152308305
134701,152308299
134735,152308300
134751,152308293
134754,152308262
134763,152308255
134803,152308248
134812,152308240
134820,152308214
134830,152308210
134858,152308198
134869,152308190
134884,152308169
134894,152308147
134922,152308147
134944,152308146
134947,152308149
134963,152308145
134996,152308141
135005,152308134
135043,152308103
135057,152308096
135062,152308088
135064,152308082
135109,152308060
135127,152308052
135124,152308040
135141,152308032
135192,152308032
135240,152308015
135246,152308014
135261,152308014
135298,152308010
135313,152308013
135318,152308010
135323,152308002
135365,152307973
135379,152307965
135428,152307959
135491,152307951
135501,152307925
135510,152307921
135548,152307909
135565,152307901
135568,152307875
135580,152307863
135624,152307862
135662,152307862
135691,152307862
135699,152307843
135703,152307807
135744,152307764
135753,152307763
135785,152307756
135802,152307734
135807,152307731
135818,152307752
135854,152307756
135869,152307733
135868,152307732
135886,152307729
135923,152307716
135930,152307697
135943,152307693
135952,152307714
135985,152307737
136008,152307708
136006,152307699
136017,152307698
136057,152307693
136068,152307665
136068,152307656
136085,152307650
136122,152307646
136130,152307614
136144,152307598
136158,152307566
136187,152307519
136202,152307528
136209,152307531
136218,152307510
136254,152307510
136270,152307528
136268,152307532
136287,152307505
136323,152307495
136330,152307490
136346,152307478
136353,152307451
136382,152307418
136403,152307396
136408,152307390
136419,152307387
136455,152307356
