
robotV3: Command not recognized.


robotV3 >> sm 75 75
Motor Vectors: [75, 75]


robotV3 >> log 75 75


robotV3 >> a,b
8587768,9092204
9093152,9092204
9093152,9093660
9093152,9093660
9094908,9095196
9094908,9095196
9096688,9097556
9096688,9098896
9098556,9100460
9100252,9101992
9102068,9102768
9103876,9104112
9105620,9105732
9107256,9107952
9107256,9109352
9109244,9109352
9111072,9110976
9112668,9113260
9114668,9114724
9114668,9116256
9116424,9117776
9118196,9118608
9120072,9119976
9121764,9121544
9121764,9123840
9123580,9125196
9125396,9126840
9127136,9128284
9128772,9129048
9130764,9130460
9130764,9132092
9132588,9133588
9134192,9134384
9136188,9135824
9137948,9137356
9137948,9138888
9139764,9139728
9141604,9141084
9143300,9142640
9145120,9144192
9146928,9144964
9146928,9146312
9148672,9147944
9150316,9149408
9152300,9150152
9154128,9151572
9155732,9153196
9155732,9154700
9157716,9155472
9159484,9156940
9161268,9158476
9163144,9159992
9163144,9160844
9164844,9162196
9166664,9163764
9168476,9165284
9170224,9166068
9171852,9167420
9171852,9169056
9173852,9170512
9175676,9171284
9177288,9172676
9179284,9174300
9179284,9175820
9181044,9176608
9182828,9178064
9184708,9179600
9186408,9181132
9188236,9181964
9188236,9183340
9190048,9184916
9191800,9186464
9193440,9187224
9195436,9188584
9195436,9190228
9197260,9191684
9198868,9192436
9200868,9193860
9202640,9195504
9204424,9197000
9204424,9197792
9206308,9199244
9208016,9200788
9209844,9202320
9211668,9203168
9211668,9204520
9213428,9206080
9215076,9207640
9217072,9208416
9218912,9209768
9220528,9211400
9220528,9212860
9222540,9213612
9224316,9215028
9226112,9216664
9228004,9218172
9228004,9218960
9229716,9220420
9231564,9221968
9233404,9223492
9235168,9224356
9236832,9225704
9236832,9227280
9238852,9228800
9240700,9229592
9242336,9230948
9242336,9232580
9244364,9234048
9246156,9234816
9247956,9236228
9249860,9237852
9249860,9239380
9251584,9240164
9253440,9241632
9255288,9243184
9257052,9244716
9258732,9245552
9258732,9246932
9260744,9248520
9262600,9250052
9264232,9250824
9266252,9252196
9266252,9253848
9268044,9255336
9269844,9256076
9271752,9257496
9273468,9259136
9273468,9260648
9275308,9261452
9277140,9262912
9278904,9264456
9280560,9266008
9280560,9266844
9282568,9268228
9284416,9269804
9286032,9271360
9288044,9272132
9288044,9273516
9289832,9275148
9291628,9276616
9293520,9277368
9295248,9278800
9297100,9280452
9297100,9281952
9298936,9282748
9300708,9284200
9302372,9285756
9304396,9287288
9304396,9288140
9306244,9289500
9307876,9291064
9309912,9292624
9311708,9293400
9311708,9294764
9313508,9296404
9315412,9297868
9317140,9298616
9318992,9300032
9318992,9301684
9320840,9303192
9322616,9303968
9324280,9305444
9326308,9306988
9326308,9308512
9328168,9309372
9329800,9310728
9331832,9312304
9333612,9313836
9335420,9314620
9335420,9315980
9337332,9317612
9339048,9319084
9340900,9319848
9342744,9321260
9342744,9322892
9344516,9324412
9346168,9325196
9348188,9326656
9350044,9328216
9350044,9329732
9351668,9330572
9353692,9331948
9355488,9333528
9357288,9335060
9357288,9335836
9359192,9337196
9360928,9338856
9362784,9340308
9364624,9341080
9364624,9342492
9366408,9344136
9368076,9345648
