
robotV3: Command not recognized.


robotV3 >> sm 102 102
Motor Vectors: [102, 102]


robotV3 >> log 102 102


robotV3 >> a,b
180124982,156600748
173746248,151505399
170513265,145295935
164920975,139627108
164920976,139627172
164920976,139627173
164920976,139627172
158826128,139627172
152491100,139627172
146177907,139627172
142682769,139627172
136981252,139627172
130449609,133778154
124114566,128469811
120903428,122784635
115311138,117132194
115311138,111660005
115311137,106564656
115311137,100338811
109194444,94669981
102772035,94670045
96480687,94670046
93051085,94670046
87262187,94670046
80643162,94670046
74089666,94670047
71118827,94670047
65526537,94670047
65526536,88821030
65526536,83529072
65526537,77860280
59388001,72207840
52900053,66735651
46630550,61640302
43135412,61640375
37280978,55987932
30683798,55987997
24305064,55987997
21050236,55987997
15479791,55987998
15479795,55988000
15479792,55987998
15479792,55987998
9384940,55987999
2962532,50286436
354563280,44994478
351002606,39309302
345104481,33656863
338354385,28184674
332281485,23105712
329004812,16896245
323652820,11227419
323652817,11227418
323652821,11227418
323652821,11227418
317557973,11227418
311201100,11227416
304887907,11227418
301349078,11227418
295603871,11227417
289094073,5362015
282693494,20904
279504202,262803952
273890066,257135128
273890065,257135194
273890065,257135269
273890066,250909422
267795217,245256982
261394654,245257043
255125151,245257042
251608168,245257043
245862960,245257042
239331317,245257042
232952583,245257042
229785136,245257042
224149155,245257041
224149156,239391639
224149155,234099680
224149155,228414504
218032462,228414544
211544517,222942354
205275014,217863389
201845412,211637542
196034669,205985058
189415644,205985123
183036910,205985123
179782082,205985123
174167946,205985122
174167946,205985122
174167946,205985122
174167946,205985122
168007562,205985122
161519617,200136104
155206424,194844147
151689440,189158970
145900542,183490146
139259672,178034340
132859093,172922608
129604264,166713145
124011974,161044317
124011974,161044382
124011973,161044382
124011975,161044382
117917127,161044382
111451027,161044382
104853844,161044382
101599005,161044383
95810106,161044383
89212926,155211750
82790502,149887024
79928890,144234616
74336600,138582176
74336600,133109987
74336601,128014639
74336603,121805176
68219906,116136349
61841188,116136413
55506153,116136413
51923630,116136414
46156577,116136414
39712316,116136414
33246200,116136415
30035067,116136416
24399081,116136415
24399081,110287397
24399082,104995439
24399078,99326650
18304233,93657824
11903673,88202018
5524940,83123053
1964266,76897207
354067467,71228380
347470284,71228444
340982324,71228444
337727496,71228445
332069670,71228444
332069669,71228444
332069668,71228444
332069669,71228443
325909285,71228444
319465031,65395810
313086301,60103851
309525627,60103924
303693039,54435101
297095859,48995679
290651589,43900330
287374915,37690872
281717089,32038424
281717089,32038488
281717089,32038493
281717089,32038488
275513015,32038489
269046915,32038491
262668185,32038489
259107512,32038490
253253077,32038489
246699589,26205855
240255319,26205928
237044181,20520753
231364510,14884698
231364510,9428893
231364510,4317083
231364510,266559384
225204126,260890556
218738026,260890621
212381142,260890616
208886005,260890621
203424786,260890620
196783916,260890620
190361491,260890621
187150354,260890622
181492528,260890621
181492535,260890692
181492529,255402125
181492528,249897174
175703515,244244735
169193725,238739711
162902376,233693514
159407238,227254677
153552804,221831610
146911934,221831675
140489516,221831676
137256526,221831676
131620545,221831676
131620538,221831676
131620544,221831676
131620545,221831676
125460161,221831676
118950370,215835203
112659022,210690701
109142038,205005526
103331295,199189247
