
robotV3: Command not recognized.


robotV3 >> log 150 150


robotV3 >> a,b
1489476,1116947
1489705,1117181
1489918,1117342
1490088,1117410
1490224,1117510
1490381,1117627
1490512,1117728
1490637,1117775
1490764,1117852
1490876,1117944
1490993,1118025
1491111,1118066
1735,1118138
1603,1118218
1505,1118290
1438,1118328
1392,1450
1345,1287
1310,1194
1280,1163
1252,1124
1230,1074
1208,1038
1182,1025
1173,1004
1157,980
1141,960
1128,951
1118,933
1105,917
1096,904
1086,898
1078,886
1070,875
1063,865
1056,859
1047,851
1044,842
1038,834
1031,830
1027,823
1023,816
1016,809
1012,808
1008,801
1004,796
1000,789
996,791
994,781
991,777
987,772
985,773
983,766
980,762
978,758
976,756
974,753
972,748
970,746
968,740
966,742
964,739
962,737
961,731
959,733
957,730
956,728
960,724
953,725
952,723
951,722
950,721
949,720
952,719
948,717
948,717
946,715
948,714
944,712
938,711
943,711
943,677
942,631
941,629
940,634
937,608
939,602
937,628
938,633
935,603
937,598
936,628
936,629
935,600
935,597
934,623
934,623
934,630
933,673
932,701
932,696
932,696
932,696
932,695
931,694
931,694
931,693
931,692
931,692
931,692
930,691
932,691
930,690
931,691
930,690
930,685
930,689
930,688
929,687
930,687
929,687
929,690
929,686
928,686
929,686
928,686
932,685
928,685
928,685
929,683
928,684
928,684
928,684
928,683
928,683
927,683
928,683
928,680
924,683
927,683
927,683
926,683
927,682
927,682
927,682
927,682
927,647
926,601
926,583
929,606
926,613
926,587
926,581
926,607
926,613
926,584
927,580
927,613
927,610
928,583
930,582
924,606
927,642
927,663
927,684
927,679
927,675
927,679
927,682
927,679
927,679
925,680
924,678
927,673
926,678
926,679
926,677
927,679
927,679
926,679
926,674
927,679
926,679
926,678
926,676
926,679
926,679
926,677
926,679
926,680
932,679
926,679
926,679
926,679
926,679
926,679
927,679
927,679
927,678
927,679
931,678
927,679
922,680
927,678
927,679
927,677
927,678
928,678
927,678
928,679
927,678
928,678
923,678
928,683
928,678
928,678
935,679
928,681
928,677
928,678
928,678
928,678
928,678
928,678
928,678
929,678
928,679
929,683
922,641
928,592
929,580
930,603
929,607
935,586
929,578
929,604
929,611
929,582
929,578
929,607
929,609
935,581
929,579
928,600
929,643
923,663
932,678
929,679
929,678
932,673
930,679
930,678
930,678
924,677
930,677
930,677
930,677
930,678
927,677
930,678
930,681
928,678
930,678
930,678
930,678
930,678
937,678
930,678
930,682
930,679
930,679
930,684
930,679
930,679
934,684
930,679
936,677
937,679
923,679
930,679
930,679
930,679
929,678
930,679
930,675
930,679
927,679
930,674
924,679
924,681
930,674
931,679
930,679
931,679
931,679
931,680
931,679
931,679
931,680
931,678
931,652
931,633
931,600
931,558
932,535
932,552
932,562
932,558
932,534
933,554
933,558
933,556
934,533
933,554
933,558
934,557
934,562
935,600
935,640
934,680
935,679
935,679
935,679
935,679
935,678
936,678
936,678
935,678
936,678
935,678
936,678
937,678
937,678
937,683
937,678
937,676
937,678
937,677
937,677
938,677
938,682
937,677
938,678
937,678
938,677
939,678
938,678
938,678
938,678
939,674
939,678
938,679
938,679
939,679
939,680
938,679
938,675
937,680
938,679
938,680
940,680
939,680
938,679
939,679
939,680
939,679
939,680
939,680
939,680
939,680
939,680
939,680
938,680
940,680
940,680
940,680
939,680
939,680
939,683
939,681
942,681
939,681
940,680
940,680
940,680
939,680
939,680
939,681
940,681
940,680
943,681
941,681
938,683
940,681
940,678
940,681
940,685
940,681
941,681
940,681
Stop

