
robotV3: Command not recognized.


robotV3 >> sm 75 75
Motor Vectors: [75, 75]


robotV3 >> log 75 75


robotV3 >> a,b
10636692,10386376
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10850824
10850868,10852432
10850868,10852432
10850868,10852432
10850868,10852432
10850868,10852432
10850868,10853908
10850868,10853908
10850868,10853908
10850868,10854692
10850868,10854692
10850868,10854692
10850868,10856108
10850868,10856108
10850868,10856108
10850868,10856108
10850868,10857624
10850868,10857624
10850868,10857624
10850868,10857624
10850868,10857624
10850868,10859136
10850868,10859136
10850868,10859136
10850868,10859136
10850868,10859964
10850868,10859964
10850868,10859964
10850868,10861312
10850868,10861312
10850868,10861312
10850868,10862844
10850868,10862844
10850868,10862844
10850868,10862844
10850868,10864372
10850868,10864372
10850868,10864372
10850868,10864372
10850868,10864372
10850868,10864372
10850868,10865140
10850868,10865140
10850868,10865140
10850868,10866472
10850868,10866472
10850868,10866472
10850868,10868076
10850868,10868076
10850868,10868076
10850868,10868076
10850868,10869528
10850868,10869528
10850868,10869528
10850868,10869528
10850868,10869528
10850868,10870268
10850868,10870268
10850868,10870268
10850868,10870268
10850868,10871656
10850868,10871656
10850868,10871656
10850868,10873272
10850868,10873272
10850868,10873272
10850868,10874752
10850868,10874752
10850868,10874752
10850868,10874752
10850868,10874752
10850868,10875532
10850868,10875532
10850868,10875532
10850868,10875532
10850868,10875532
10850868,10876964
10850868,10876964
10850868,10876964
10850868,10878492
10850868,10878492
10850868,10878492
10850868,10879996
10850868,10879996
10850868,10879996
10850868,10879996
10850868,10880824
10850868,10880824
10850868,10880824
10850868,10880824
10850868,10880824
10850868,10880824
10850868,10882176
10850868,10882176
10850868,10882176
10850868,10883728
10850868,10883728
10850868,10883728
10850868,10885240
10850868,10885240
10850868,10885240
10850868,10885240
10850868,10886000
10850868,10886000
10850868,10886000
10850868,10886000
10850868,10886000
10850868,10886000
10850868,10887336
10850868,10887336
10850868,10887336
10850868,10888960
10850868,10888960
10850868,10888960
10850868,10890416
10850868,10890416
10850868,10890416
10850868,10890416
10850868,10891132
10850868,10891132
10850868,10891132
10850868,10891132
10850868,10891132
10850868,10891132
10850868,10892536
10850868,10892536
10850868,10892536
10850868,10894152
10850868,10894152
10850868,10894152
10850868,10895628
10850868,10895628
10850868,10895628
10850868,10895628
10850868,10896396
10850868,10896396
10850868,10896396
10850868,10896396
10850868,10896396
10850868,10896396
10850868,10897840
10850868,10897840
10850868,10897840
10850868,10899360
10850868,10899360
10850868,10899360
10850868,10900864
10850868,10900864
10850868,10900864
10850868,10900864
10850868,10901708
10850868,10901708
10850868,10901708
10850868,10901708
10850868,10901708
10850868,10901708
10850868,10903048
10850868,10903048
10850868,10903048
10850868,10904592
10850868,10904592
10850868,10904592
10850868,10906104
10850868,10906104
10850868,10906104
10850868,10906104
10850868,10906876
10850868,10906876
10850868,10906876
10850868,10906876
10850868,10906876
10850868,10906876
10850868,10908216
10850868,10908216
10850868,10908216
10850868,10909832
10850868,10909832
