
robotV3: Command not recognized.


robotV3 >> sm 100 100
Motor Vectors: [100, 100]


robotV3 >> sm 150 150
Motor Vectors: [150, 150]


robotV3 >> log 150 150


robotV3 >> a,b
20345324,20345480
20345324,20345480
20345324,20346144
20345324,20346980
20345324,20346980
20345324,20347716
20345324,20347716
20346184,20350372
20347160,20350768
20347160,20352000
20348064,20352044
20348960,20354140
20349916,20355696
20349916,20356084
20350808,20357584
20351720,20358712
20352648,20359000
20353540,20359168
20353540,20359408
20354372,20360220
20355392,20361368
20356316,20362104
20357140,20363644
20358160,20364060
20358160,20365540
20359056,20366308
20359960,20366700
20360920,20368204
20360920,20369320
20361784,20370040
20362720,20371596
20363688,20371992
20364544,20372724
20364544,20374268
20365376,20374692
20366392,20376168
20367320,20377328
20367320,20377996
20368144,20378828
20369156,20379948
20370080,20380656
20370964,20382220
20370964,20382616
20371916,20384124
20372788,20384884
20373724,20387548
20374644,20387936
20374644,20388616
20375540,20390188
20376372,20391276
20377388,20392108
20378320,20393232
20378320,20393968
20379140,20394748
20380160,20395932
20381060,20396628
20381960,20398184
20381960,20399240
20382916,20400084
20383788,20400816
20384716,20401912
20384716,20402712
20385644,20403876
20386536,20404608
20387368,20406148
20388396,20406568
20388396,20408048
20389316,20408816
20390144,20409200
20391168,20410700
20392064,20411828
20392064,20412532
20392964,20414092
20393924,20414492
20394792,20415236
20395728,20415788
20395728,20416012
20396672,20417188
20397552,20417872
20398384,20419432
20398384,20419820
20399412,20420496
20400332,20422072
20401160,20423164
20402180,20423968
20402180,20425124
20403080,20425856
20403988,20426644
20404944,20427824
20405816,20428528
20405816,20430088
20406752,20431136
20407684,20431976
20408580,20432720
20408580,20433812
20409412,20434624
20410432,20435776
20411360,20436512
20412184,20438060
20412184,20440724
20413204,20441788
20414136,20442620
20415008,20443368
20415008,20444488
20415972,20446016
20416836,20446416
20417772,20447936
20418704,20448700
20418704,20449120
20419592,20450604
20420428,20451376
20421448,20452432
20422376,20453276
20422376,20454396
20423204,20455112
20424220,20455916
20425160,20457076
20426028,20458592
20426028,20459352
20426988,20460472
20427864,20461260
20428788,20462032
20429720,20463084
20429720,20463920
20430608,20465052
20431448,20465760
20432472,20467324
20432472,20467716
20433400,20469236
20434224,20470000
20435248,20471108
20435248,20471904
20436148,20473064
20437056,20473736
20438016,20474576
20438888,20475696
20438888,20477976
20439824,20479112
20440764,20480660
20441652,20481080
20442488,20481788
20442488,20483348
20443512,20483736
20444440,20485240
20445300,20485980
20445300,20487084
20446288,20487888
20447192,20488660
20448100,20489784
20449056,20490556
20449056,20491744
20449932,20493228
20450872,20493992
20451804,20494380
20452696,20495892
20452696,20496636
20453532,20497764
20454556,20498536
20455484,20499716
20455484,20500424
20456308,20501972
20457328,20502392
20458232,20503096
20458232,20504428
20459136,20504556
20460096,20504656
20460972,20505040
20461904,20506556
20461904,20507292
20462832,20508392
20463728,20509196
20464572,20510364
20465584,20511096
20465584,20512640
20466520,20513064
20467364,20513760
20468364,20515320
20468364,20516380
20469272,20517208
20470180,20517956
20471152,20519048
20472008,20519864
20472008,20521012
20472944,20521752
20473884,20523296
20474768,20523712
20474768,20525200
20475604,20525976
