
robotV3: Command not recognized.


robotV3 >> bs
robotV3: Command not recognized.


robotV3 >> cpuy
robotV3: Command not recognized.


robotV3 >> cpu
168 us, min: 164 us, max: 176
3% used for 5ms loop time.


robotV3 >> sm 100 100
Motor Vectors: [100, 100]


robotV3 >> cpu
228 us, min: 164 us, max: 352
4% used for 5ms loop time.


robotV3 >> bs


robotV3 >> 272630336,0,723
272631488,1962,1462
272632876,1926,2990
272634408,5518,3529
272635820,1805,3519
272637284,2985,2962
272638740,5818,1428
272640096,1898,2150
272641508,1885,3572
272642840,1885,3029
272644292,3660,2228
272645628,1818,2158
272647372,2856,2779
272649192,4894,4979
272651008,1788,4343
272652824,2751,3688
272654676,2811,2988
272656468,2916,4439
272658276,3014,2221
272660132,1810,4478
272661916,2777,3449
272663732,2853,2113
272665548,2969,2871
272667368,1795,5850
272669184,2773,2976
272671004,2864,5361
272672820,4913,6245
272674640,1794,2811
272676456,1839,2811
272678276,2840,2934
272680116,2920,2976
272681908,5319,3786
272683728,1826,2103
272685544,2779,2858
272687364,2866,3650
272689212,2969,3688
272691032,1793,2988
272692816,2786,3628
272694632,2875,2226
272696488,4898,2980
272698272,1799,3845
272700088,1846,3519
272701904,2851,2871
272703724,2938,3952
272705572,2011,5195
272707360,1830,4547
272709176,4695,2080
272710996,2875,4941
272712840,2973,4967
272714632,1810,4558
272716464,1857,2976
272718268,6730,3792
272720084,2971,2097
272721904,1807,3021
272723720,1851,2893
272725540,2858,5339
272727356,2952,4391
272729172,1783,2305
272730992,2759,3685
272732844,2777,2983
272734628,2886,2069
272736480,2983,2792
272738264,1816,4280
272740080,2808,3636
272741900,2900,5919
272743772,2952,4474
272745536,1814,2916
272747352,4653,2111
272749168,2877,6435
272750988,2966,2813
272752804,1801,3690
272754624,2771,3024
272756460,3756,5204
272758256,2906,2845
272760076,5357,4310
272761892,1830,4411
272763744,2808,2990
272765528,6814,2175
272767456,2943,5331
272769200,1814,2235
272770984,2808,2866
272772800,2906,5055
272774632,5947,2851
272776436,1801,5087
272778260,4633,2969
272780072,2825,3029
272781892,2916,4637
272783708,1790,4912
272785528,1836,2869
272787344,2836,3656
272789160,3912,5195
272790980,1783,3021
272792796,1834,2794
272794616,2821,2864
272796432,2904,2925
272798284,2978,6648
272800068,1808,3026
272801884,2796,2916
272803716,2830,5204
272805520,4886,3026
272807340,1798,5401
272809156,1845,2125
272810976,2849,2886
272812792,2964,3682
272814644,3014,4471
272816428,1842,2057
272818244,3855,3492
272820064,6804,3537
272821880,3014,3673
272823700,1815,2962
272825516,2806,3016
272827336,3802,3820
272829152,2943,2122
272830972,3610,2884
272832788,2777,3693
272834640,2843,2980
272836424,2959,3041
272838240,3903,2950
272840152,4913,2969
272841880,2849,2284
272843696,4890,2808
272845512,1761,2856
272847332,1826,3705
272849148,4706,2969
272850976,2862,3786
272852784,2959,2830
272854604,4685,2832
272856420,2790,2869
272858236,2873,3633
272860076,2976,3696
272861872,1805,3043
272863692,1857,4644
272865508,2871,4277
272867328,2945,2891
272869144,1766,4425
272871020,5438,5204
272872808,2817,3717
272874596,2877,2218
272876452,6873,2990
272878236,1819,2071
272880052,6793,2111
272881872,2889,2869
272883696,2973,4360
272885504,4558,2971
272887324,2792,5300
272889140,2869,4367
272890960,4921,2098
272892776,1773,2866
272894592,2765,5107
272896412,2843,2955
272898228,2886,2909
272900060,2973,3472
272901864,1827,2140
272903684,2815,4346
272905500,2893,2931
272907392,2948,2969
272909220,3031,6024
272910952,1869,2212
272912800,2862,2976
272914592,2962,3048
272916408,1778,2097
272918224,5535,4982
272920044,2853,5075
272921860,2900,2950
272923760,2948,2969
272925496,1843,2061
272927316,2817,3038
272929132,2904,2838
272930984,2983,2882
272932768,3687,5179
272934620,2794,2976
272936404,2886,3053
272938224,2971,2114
272940048,1780,5318
272941856,5551,2198
272943688,2856,5204
272945492,2909,5331
272947344,2983,2185
272949164,1828,2978
272950948,4826,3041
272952764,2911,2092
272954584,3012,2851
272956400,3671,2902
272958220,2821,4439
272960072,2877,2990
272961872,3965,2058
272963672,1788,4210
272965488,2783,3553
272967308,2873,3720
272969124,2916,2973
272970944,5024,4554
272972760,1846,2095
272974576,2838,3572
272976396,2927,5075
272978212,1780,2969
272980032,1834,3774
272981848,2832,2175
272983668,2913,4429
